# LAST EDIT: 22/08/2020 - MITSU
####################
# CONGENITAL TRAIT #
####################
###ÄNSI
#
# CONGENITAL TRAITS
#
brilliant;Brilliant;;;;;;;;;;;;;x
brilliant_desc;This character is sharper than the average individual.;;;;;;;;;;;;;x
smart;Smart;;;;;;;;;;;;;x
smart_desc;Much smarter than the average person.;;;;;;;;;;;;;x
bright;Bright;;;;;;;;;x,
bright_desc;Quickly understands and overcomes mental challenges.;;;;;;;;;;;;;x
dim;Dim;;;;;;;;;;;;;x
dim_desc;Not the brightest tool in the shed.;;;;;;;;;;;;;x
dumb;Dumb;;;;;;;;;;;;;x
dumb_desc;Some consider this character to be borderline retarded.;;;;;;;;;;;;;x
idiot;Idiot;;;;;;;;;x,
idiot_desc;Although ostensibly sentient, this character seems to not understand even basic concepts.;;;;;;;;;;;;;x
tough;Tough;;;;;;;;;;;;;x
tough_desc;This character shakes off wounds with a mere shrug.;;;;;;;;;;;;;x
hardy;Hardy;;;;;;;;;;;;;x
hardy_desc;This character is hardy and resistant to illness.;;;;;;;;;;;;;x
soft;Soft;;;;;;;;;;;;;x
soft_desc;This character is not the type suited for blood and glory.;;;;;;;;;;;;;x
fragile;Fragile;;;;;;;;;;;;;x
fragile_desc;Weak and sensitive.;;;;;;;;;;;;;x
pretty;Pretty;;;;;;;;;;;;;x
pretty_desc;This character is pleasing to the eye.;;;;;;;;;;;;;x
plain;Plain;;;;;;;;;;;;;x
plain_desc;This character has a very ordinary, unremarkable face. So much so that it's hard to describe what they look like.;;;;;;;;;;;;;x
unsightly;Unsightly;;;;;;;;;;;;;x
unsightly_desc;This character is hardly pleasing to the eye.;;;;;;;;;;;;;x
#
# CONGENITAL TRAIT EVENTS
#
EVTDESCbeauty_inheritance.0;This child resembles its family - but the subtle differences will determine how others respond to [GetHerHis] appearance.;;;;;;;;;;;;;x
EVTOPTAbeauty_inheritance.0;One can only hope for the best.;;;;;;;;;;;;;x
EVTDESCstrength_inheritance.0;As this child begins to feed and grow, you begin to see indications of [GetHerHis] future physical strength and stamina.;;;;;;;;;;;;;x
EVTOPTAstrength_inheritance.0;May [GetSheHe] become as fit and vigorous as the heroes of old!;;;;;;;;;;;;;x
EVTDESCintelligence_inheritance.0;As this child interacts with the world, you learn whether or not [GetSheHe] takes after [GetHerHis] parents in mental ability.;;;;;;;;;;;;;x
EVTOPTAintelligence_inheritance.0;Pray [GetSheHe] has learned from [GetHerHis] family even while in the womb.;;;;;;;;;;;;;x
