#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
#################
# RETINUE UNITS #
#################
#
# IMPERIALS
#
RETTYPE_ST_HALBERDIERS;Halberdier State Troop;;;;;;;;;;;;;x
RETTYPE_ST_SPEARMEN;Spearmen State Troop;;;;;;;;;;;;;x
RETTYPE_ST_SWORDSMEN;Swordsmen State Troop;;;;;;;;;;;;;x
RETTYPE_ST_ARCHERS;Archer State Troop;;;;;;;;;;;;;x
RETTYPE_ST_CROSSBOWS;Crossbow State Troop;;;;;;;;;;;;;x
RETTYPE_ST_HANGUNNERS;Hangunner State Troop;;;;;;;;;;;;;x
RETTYPE_REIKGUARD;Reiksguard Knight;;;;;;;;;;;;;x
RETTYPE_WISSENGUN;Nuln Repeater;;;;;;;;;;;;;x
RETTYPE_WISSENARTY;Nuln Artillery;;;;;;;;;;;;;x
RETTYPE_SOLBLACKRIDER;Black Rider;;;;;;;;;;;;;x
RETTYPE_AVERLANLANDSKNECHT;Averlander Landsknecht;;;;;;;;;;;;;x
RETTYPE_DEATHWATCH;Deathwatch;;;;;;;;;;;;;x
RETTYPE_WESTERLANDMARINES;Westerlander Marine Company;;;;;;;;;;;;;x
RETTYPE_FORLORNHOPE;Forlorn Hope Company;;;;;;;;;;;;;x
RETTYPE_NORDLANDERBESERKERS;Nordlander Beserkers;;;;;;;;;;;;;x
RETTYPE_DRAGONHEERBANN;Dragon Heerbaan;;;;;;;;;;;;;x
RETTYPE_MIDDENLANDGREAT;Middenlander Greatsword Company;;;;;;;;;;;;;x
RETTYPE_BEASTHUNTERS;Beast Hunters Company;;;;;;;;;;;;;x
RETTYPE_PIKESQUARE;Pike-and-Shot Company;;;;;;;;;;;;;x
RETTYPE_OSTLANDEROGRES;Ogre Company;;;;;;;;;;;;;x
RETTYPE_LONGRIFLES;Long Rifle Company;;;;;;;;;;;;;x
RETTYPE_SIGMARMONKS;Warrior Priests of Sigmar;;;;;;;;;;;;;x
RETTYPE_WOLFULRIC;Wolves of Ulric;;;;;;;;;;;;;x
RETTYPE_GREENHATS;Company of the Green Hat;;;;;;;;;;;;;x
RETTYPE_DRUIDS;Druids of the Secret Fire;;;;;;;;;;;;;x
RETTYPE_MANOWARS;Man'o'Wars;;;;;;;;;;;;;x
#
# SUDENBURG
#
RETTYPE_SUDINFBLOCK;Light Infantry Block;;;;;;;;;;;;;x
RETTYPE_SUDCAVBLOCK;Light Cavalry Block;;;;;;;;;;;;;x
RETTYPE_SUDGUNBLOCK;Gunner Block;;;;;;;;;;;;;x
RETTYPE_SUDELEPHANT;Elephant Company;;;;;;;;;;;;;x
RETTYPE_SUDHEVINFBLOCK;Heavy Infantry Block;;;;;;;;;;;;;x
RETTYPE_SUDHEVCAVBLOCK;Heavy Cavalry Block;;;;;;;;;;;;;x
RETTYPE_SUDARTYBLOCK;Artillery Company;;;;;;;;;;;;;x
#
# DWARFS
#
organ_guns;Organ Guns;;;;;;;;;;;;;x
dwarflongbeards;Dwarf Longbeards;;;;;;;;;;;;;x
#
# CHAOS AND NORSCANS
#
chaoschampions;Chaos Champions;;;;;;;;;;;;;x
nurglitechampions;Plague Champions;;;;;;;;;;;;;x
khornatechampions;Khorne Berserkers;;;;;;;;;;;;;x
slaaneshichampions;Exalted Ones;;;;;;;;;;;;;x
tzeentchchampions;Brood Lords;;;;;;;;;;;;;x
RETTYPE_CUL_NORSCAN1;Bondsmen;;;;;;;;;;;;;x # Tribal
RETTYPE_CUL_NORSCAN2;Bondsmen;;;;;;;;;;;;;x # Feudal
RETTYPE_CUL_NORSCAN3;Norscan Marauders;;;;;;;;;;;;;x # Feudal
hungnoblecavalry;Noble Cavalry;;;;;;;;;;;;;x
kurganmaraudercavalry;Marauder Cavalry;;;;;;;;;;;;;x
chaoswarriors;Chaos Warriors;;;;;;;;;;;;;x
chaoschariots;Chaos Chariots;;;;;;;;;;;;;x
chaosmarauders;Chaos Marauders;;;;;;;;;;;;;x
dragonogres;Dragon Ogres;;;;;;;;;;;;;x
dragonogreshaggoth;Dragon Ogre Shaggoth;;;;;;;;;;;;;x
CHAOS_RETTYPE_INF1;Dismounted Marauders;;;;;;;;;;;;;x
CHAOS_RETTYPE_INF2;Dismounted Chaos Knights;;;;;;;;;;;;;x
CHAOS_RETTYPE_INF3;Chaos Warriors;;;;;;;;;;;;;x
CHAOS_RETTYPE_CAV1;Marauders;;;;;;;;;;;;;x
CHAOS_RETTYPE_CAV2;Marauder Raiders;;;;;;;;;;;;;x
CHAOS_RETTYPE_CAV3;Marauder Horde;;;;;;;;;;;;;x
CHAOS_RETTYPE_CAV4;Chaos Knights and Marauders;;;;;;;;;;;;;x
CHAOS_RETTYPE_CAV5;Chaos Knights;;;;;;;;;;;;;x
CHAOS_RETTYPE_MON1;Chaos Spawns and Forsaken;;;;;;;;;;;;;x
#
# ARABY
#
RETTYPE_CUL_ARABY_4;Bel-Sheikk Cavalry;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY_5;Flying Carpets;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY6;Elite Jannisaries;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY7;Phoenix Bombards;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY8;Southland War Elephants;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY9;Southlander Champion Shortbows;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY10;Tirian Purple Shield-Bearers;;;;;;;;;;;;;x
#KISLEVITES#
RETTYPE_CUL_KISLEV1;Kossars;;;;;;;;;;;;;x
RETTYPE_CUL_KISLEV2;Kremlin Guard;;;;;;;;;;;;;x
RETTYPE_CUL_KISLEV3;Ungols Horse Archers;;;;;;;;;;;;;x
RETTYPE_CUL_KISLEV4;Slavny Winged Lancers;;;;;;;;;;;;;x
RETTYPE_CUL_KISLEV5;Streltsi;;;;;;;;;;;;;x
#TILEANS/ESTALIANS/MYKENS/SARTOSANS#
musketeercondottieri;Arquebusier Condottieri;;;;;;;;;;;;;x
crossbowcondottieri;Crossbow Condottieri;;;;;;;;;;;;;x
pikecondottieri;Pike Condottieri;;;;;;;;;;;;;x
conquistadors;Conquistadors;;;;;;;;;;;;;x
terciosquare;Tercio Square;;;;;;;;;;;;;x
rodeleros;Rodeleros;;;;;;;;;;;;;x
guardiareal;Guardia Real;;;;;;;;;;;;;x
foederati_scutarii;Scutarii Eximus;;;;;;;;;;;;;x
comitos_primoti;Comitos Primoti;;;;;;;;;;;;;x
excubitoroi_seniores;Excubitoroi Seniores;;;;;;;;;;;;;x
myrmidons;Myrmidons;;;;;;;;;;;;;x
buccaneers;Sartosan Buccaneers;;;;;;;;;;;;;x
corsairs;Arabyan Corsairs;;;;;;;;;;;;;x
reavers;Norscan Reavers;;;;;;;;;;;;;x
tileansharpshooters;Tilean Sharpshooters;;;;;;;;;;;;;x
grand_bombards;Great Bombard Artillery;;;;;;;;;;;;;x
mercmarauders;Mercenary Marauders;;;;;;;;;;;;;x
#
#STRIGANY
#
striganyinfantry;Strigany Infantry;;;;;;;;;;;;;x
wainriders;Wainriders;;;;;;;;;;;;;x
ghoulguard;Ghoul Guard;;;;;;;;;;;;;x
bloodlegioncavalry;Blood Legion Cavalry;;;;;;;;;;;;;x
#
# BRETONNIA
#
mountedyeomen;Mounted Yeomen;;;;;;;;;;;;;x
grailknights;Grail Knights;;;;;;;;;;;;;x
knightserranty;Knights Erranty;;;;;;;;;;;;;x
#
# OGRES
#
HORDE_RETTYPE_OGRE1;Ogres;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE2;Ironguts;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE3;Leadbelchers;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE4;Gnoblar Horde;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE5;Giants;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE6;Hobgoblin Mercenaries;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE7;Stonehorns;;;;;;;;;;;;;x
HORDE_RETTYPE_OGRE8;Ironblasters;;;;;;;;;;;;;x
#
# FIMIR
#
fimirraiders;Fimir Raiders;;;;;;;;;;;;;x
#
# CHAOS DWARFS
#
RET_hobgoblin_slavers;Hobgoblin Slavers;;;;;;;;;;;;;x
knightsoftherealm;Knights of the Realm;;;;;;;;;;;;;x
vampireknights;Vampire Knights;;;;;;;;;;;;;x
blackorcs;Black Orcs;;;;;;;;;;;;;x
#
#DRUCHII
#
blackguard;Blackguard of Naggarond;;;;;;;;;;;;;x
ghrondsorceresses;Ghrond Sorceresses;;;;;;;;;;;;;x
karondkarcorsairs;Karond Kar Corsairs;;;;;;;;;;;;;x
harganethexecutioners;Har Ganeth Executioners;;;;;;;;;;;;;x
coldoneknights;Cold One Knights;;;;;;;;;;;;;x
druchispearmen;Druchi Spearmen;;;;;;;;;;;;;x
druchicrossbows;Druchi Crossbows;;;;;;;;;;;;;x
darkriders;Dark Riders;;;;;;;;;;;;;x
witchelves;Witch Elves;;;;;;;;;;;;;x
#
# HIGH ELVES
#
tiranocchariots;Tiranoc Chariots;;;;;;;;;;;;;x
lothernseaguard;Lothern Seaguard;;;;;;;;;;;;;x
dragonprinces;Dragon Princes of Caledor;;;;;;;;;;;;;x
shadowwarriors;Shadow Warriors;;;;;;;;;;;;;x
swordmasters;Swordmasters of Hoeth;;;;;;;;;;;;;x
whitelions;White Lions of Chrace;;;;;;;;;;;;;x
ellyrian_reavers;Ellyrian Reavers;;;;;;;;;;;;;x
elvenspearmen;Elven Spearmen;;;;;;;;;;;;;x
elvenarchers;Elven Archers;;;;;;;;;;;;;x
silverhelms;Silver Helm Knights;;;;;;;;;;;;;x
#
# TOMB KINGS
#
skeletonarchers;Skeleton Archers;;;;;;;;;;;;;x
skeletonspearmen;Skeleton Spearmen;;;;;;;;;;;;;x
skeletoncavalry;Skeleton Cavalry;;;;;;;;;;;;;x
#
# AMAZONS
#
amazon_spearmaiden;Amazon Spear Maidens;;;;;;;;;;;;;x
amazon_beast_mistress;Amazon Beast Mistresses;;;;;;;;;;;;;x
amazon_temple_guards;Amazon Temple Guards;;;;;;;;;;;;;x
